userId,beerId,rating,beerName,beerStyle
105,332,2.5,Miller Lite,Light Lager
35,57252,3.0,Samuel Adams Latitude 48 IPA,American IPA
132,358,4.0,XS Imperial India Pale Ale,American Double / Imperial IPA
287,1287,4.0,Bell's Porter,American Porter
132,56973,5.0,Shakespeare Oatmeal Stout,Oatmeal Stout
10099,2093,5.0,90 Minute IPA,American Double / Imperial IPA
124,387,4.5,Salvator Doppel Bock,Doppelbock
1199,20478,3.5,Founders Harvest Ale,American IPA
35,104,3.0,Samuel Adams Boston Lager,Vienna Lager
42,16506,4.0,Ommegang Witte,Witbier
140,30420,4.0,Sierra Nevada Torpedo Extra IPA,American IPA
22,14732,4.5,Edition 2004,Belgian Strong Pale Ale
898,19667,3.5,Heavy Seas - Peg Leg (Imperial Stout),Russian Imperial Stout
73,226,4.0,Great Lakes Edmund Fitzgerald Porter,American Porter
2085,6685,4.0,Dragonmead Under The Kilt Wee Heavy,Scotch Ale / Wee Heavy
16866,58498,4.0,Coton,Old Ale
29,1320,2.0,Bud Light,Light Lager
877,20889,4.0,River Horse Tripel Horse,Tripel
142,924,4.0,Franziskaner Hefe-Weisse Dunkel,Dunkelweizen
259,1856,3.0,St. Bernardus Pater 6,Dubbel
68,2678,4.0,Horn Dog Barley Wine Style Ale,English Barleywine
35,68400,4.0,Latitude 48 Deconstructed IPA - Simcoe,American IPA
23980,1351,4.0,Yuengling Traditional Lager,American Amber / Red Lager
99,26619,2.5,Saranac Oatmeal Stout,Oatmeal Stout
354,920,2.0,Carolina Blonde,American Blonde Ale
220,3711,4.0,Censored,American Amber / Red Ale
923,16329,4.0,Nefarious Ten Pin Imperial Porter,Baltic Porter
345,14916,3.0,Hop Wallop,American Double / Imperial IPA
30,2014,4.5,The Reverend,Quadrupel (Quad)
335,1567,3.0,New Holland Ichabod Ale,Pumpkin Ale
273,751,4.5,Sweetwater 420 Extra Pale Ale,American Pale Ale (APA)
388,2557,4.0,Cantillon Rosé De Gambrinus,Lambic - Fruit
35,103,3.0,Samuel Adams Summer Ale,American Pale Wheat Ale
283,2467,4.0,Frambozenbier,Fruit / Vegetable Beer
700,2018,2.0,The Immortal IPA,American IPA
16353,39201,4.5,Hopworks IPA,American IPA
132,54929,4.0,Chatoe Rogue First Growth Dirtoir Black Lager,Schwarzbier
22,3523,3.0,Éphémère (Apple),Fruit / Vegetable Beer
677,2213,1.0,Crazy Ed's Cave Creek Chili Beer,Chile Beer
2541,6317,4.0,Girardin Gueuze 1882 (Black Label),Gueuze
467,2734,3.5,Summit Maibock,Maibock / Helles Bock
15237,38334,4.5,Black Albert,Russian Imperial Stout
105,580,3.0,Miller High Life,American Adjunct Lager
103,2004,5.0,Dragonslayer,Russian Imperial Stout
779,7615,4.0,Adnams SSB (Suffolk Special Bitter),Extra Special / Strong Bitter (ESB)
140,52371,4.0,Sierra Nevada Estate Brewers Harvest Ale,American IPA
805,6057,4.0,Blanche De Namur,Witbier
596,2669,4.5,Portsmouth Black Cat Stout,Irish Dry Stout
738,24217,4.0,Fantôme Brise-BonBons,Saison / Farmhouse Ale
2681,55412,2.0,GUBNA Imperial IPA,American Double / Imperial IPA
173,20762,4.0,Doggie Claws,American Barleywine
4,21363,4.5,Allagash Odyssey,Belgian Strong Dark Ale
636,5586,3.0,Oudbeitje Lambic,Lambic - Fruit
30,3295,3.5,Old Jubilation,Old Ale
738,6424,4.0,Fantôme Saison D'Erezée - Printemps,Saison / Farmhouse Ale
22951,64750,4.5,Hoppy Feet 1.5,American Black Ale
94,41182,4.0,Belgian White,Witbier
42,142,4.5,Ommegang (Abbey Ale),Dubbel
5074,34034,3.5,Conductor Imperial India Pale Ale,American Double / Imperial IPA
385,12163,5.0,Monk's Mistress,Belgian Strong Dark Ale
2210,50697,4.0,Double Jack,American Double / Imperial IPA
2874,7456,4.5,St. Feuillien Triple,Tripel
923,3315,3.5,Buster Nut Brown Ale,English Brown Ale
1417,3939,3.0,Riggwelter Yorkshire Ale,English Brown Ale
694,71969,4.0,Tröegs Perpetual IPA,American IPA
13014,30845,4.5,CynicAle,Saison / Farmhouse Ale
259,1856,4.5,St. Bernardus Pater 6,Dubbel
205,643,2.0,Buffalo Bill's Pumpkin Ale,Pumpkin Ale
28,26756,4.5,Our Special Ale 2005 (Anchor Christmas Ale),Winter Warmer
73,226,4.0,Great Lakes Edmund Fitzgerald Porter,American Porter
898,25755,4.0,Heavy Seas - Loose Cannon (Hop3 Ale),American IPA
10707,46229,4.0,Trader Joe's 2008 Vintage Ale,Dubbel
423,50570,4.5,Tank 7 Farmhouse Ale,Saison / Farmhouse Ale
12959,28318,4.0,Captain's Reserve Imperial IPA,American Double / Imperial IPA
192,1054,4.0,Trippel Belgian Style Ale,Tripel
12142,245,2.0,Fraoch Heather Ale,Scottish Gruit / Ancient Herbed Ale
1199,60511,4.0,Founders Nemesis 2010,American Barleywine
347,3338,4.5,Cadillac Mountain Stout,American Stout
10099,6260,4.5,Punkin Ale,Pumpkin Ale
287,1444,4.0,Bell's Expedition Stout,Russian Imperial Stout
396,3833,4.5,AleSmith Speedway Stout,American Double / Imperial Stout
10707,63668,3.5,Trader Joe's 2010 Vintage Ale,Belgian Strong Dark Ale
103,330,4.0,Grail Ale,American Amber / Red Ale
156,115,2.0,Butthead Doppelbock,Doppelbock
222,2566,4.0,Maredsous 10 - Triple,Tripel
389,1115,4.0,Lion Stout,Foreign / Export Stout
37,129,4.5,Orval Trappist Ale,Belgian Pale Ale
30,15619,3.5,The Beast Grand Cru,Belgian Strong Dark Ale
220,20445,4.5,Cappuccino Stout,American Double / Imperial Stout
132,1173,4.0,Santa's Private Reserve Ale,American Amber / Red Ale
287,17112,4.5,Bell's Hopslam Ale,American Double / Imperial IPA
147,75086,3.5,Stone 11.11.11 Vertical Epic Ale,Belgian Strong Pale Ale
3268,56887,4.5,Hemp Hop Rye Amber Ale,American Amber / Red Ale
10097,311,4.5,Harpoon IPA,American IPA
779,12305,4.0,Adnams Broadside Strong Original,English Strong Ale
1471,5385,4.5,Dark Horse Crooked Tree IPA,American IPA
428,14899,3.0,Mahr's Christmas Bock,Bock
287,2766,3.5,Bell's Sparkling Ale,Tripel
10990,22343,4.5,Southern Pecan,English Brown Ale
9897,28176,4.5,Bam Bière,Saison / Farmhouse Ale
29,1252,2.5,Michelob Amber Bock,Bock
3818,47151,4.5,Oak Aged Unearthly (Imperial India Pale Ale),American Double / Imperial IPA
345,46385,3.5,Yakima Glory,American Black Ale
1199,24905,4.5,Founders Curmudgeon (Old Ale),Old Ale
5316,214,4.0,Full Sail Pale Ale,American Pale Ale (APA)
35,67267,3.5,Longshot Friar Hop Ale,Belgian IPA
345,1003,3.5,Golden Monkey,Tripel
63,47434,3.5,Hop Henge Experimental IPA,American Double / Imperial IPA
142,582,4.0,Spaten Oktoberfestbier Ur-Märzen,Märzen / Oktoberfest
458,8695,4.5,Fireman's #4,American Blonde Ale
700,2015,4.0,Perseus Porter,American Porter
75,232,2.5,Corona Extra,American Adjunct Lager
1628,54828,4.5,Southampton Imperial Porter,American Porter
83,248,3.0,Hoegaarden Original White Ale,Witbier
1471,5385,4.0,Dark Horse Crooked Tree IPA,American IPA
33,93,5.0,Steel Rail Extra Pale Ale,American Pale Ale (APA)
263,1018,4.5,Aecht Schlenkerla Rauchbier Weizen,Rauchbier
287,20604,2.5,Hell Hath No Fury Ale,Belgian Strong Dark Ale
3,35134,1.0,Pecan Harvest Ale,American Brown Ale
184,20298,5.0,Witte Trappist,Witbier
29,39908,4.5,Shock Top Belgian White,Witbier
1549,3968,4.0,India Pale Ale,English India Pale Ale (IPA)
140,1904,4.5,Sierra Nevada Celebration Ale,American IPA
143,1352,2.5,Shiner Bock,Bock
105,810,4.0,Mickey's,American Malt Liquor
132,361,4.0,Brutal Bitter Ale,American IPA
68,1213,4.0,Doggie Style Classic Pale Ale,American Pale Ale (APA)
147,92,4.5,Arrogant Bastard Ale,American Strong Ale
335,7056,4.0,New Holland Full Circle,Kölsch
388,7435,4.0,Cantillon Iris,Lambic - Unblended
193,611,5.0,Hop Ottin' IPA,American IPA
9790,20206,4.0,Duck-Rabbit Brown Ale,American Brown Ale
194,2704,3.5,St-Ambroise Oatmeal Stout,Oatmeal Stout
142,47748,4.0,Spaten Dunkel,Munich Dunkel Lager
287,1206,4.0,Bell's Pale Ale,American Pale Ale (APA)
287,27265,4.5,Bell's Wheat Love,Wheatwine
13307,46987,4.5,Beer Geek Brunch Weasel,American Double / Imperial Stout
3268,28350,4.0,5 Day IPA,American IPA
45,32631,4.0,Brooklyn Summer Ale,English Pale Ale
13014,28203,4.5,Furious,American IPA
429,1309,4.5,Alaskan Amber,Altbier
339,21538,4.0,HopFish IPA,English India Pale Ale (IPA)
187,598,4.0,Lindemans Pêche,Lambic - Fruit
118,401,4.0,Dark Island,Scottish Ale
396,3916,4.5,AleSmith IPA,American IPA
28,2550,3.5,Anchor Summer Beer,American Pale Wheat Ale
42,142,4.0,Ommegang (Abbey Ale),Dubbel
124,1256,4.0,Paulaner Hefe-Weissbier Naturtrüb,Hefeweizen
392,56274,4.5,Tiny,American Double / Imperial Stout
612,42190,4.5,Pullman Brown Ale,American Brown Ale
2743,41626,4.0,Double Stout,American Double / Imperial Stout
6288,28242,4.0,Podge Belgian Imperial Stout,Russian Imperial Stout
220,3711,4.0,Censored,American Amber / Red Ale
414,27168,3.5,Presidential IPA,American IPA
35,103,3.5,Samuel Adams Summer Ale,American Pale Wheat Ale
470,2137,3.0,Leffe Blonde,Belgian Pale Ale
141,186,4.5,Smuttynose Shoals Pale Ale,American Pale Ale (APA)
45,2231,4.5,Brooklyn Monster Ale,English Barleywine
252,731,4.5,Weihenstephaner Hefeweissbier,Hefeweizen
113,778,4.0,Samuel Smith's Organically Produced Lager Beer,Euro Pale Lager
2681,34483,4.0,Ten FIDY,Russian Imperial Stout
287,52361,4.5,The Oracle,American Double / Imperial IPA
287,32695,2.0,Bell's Octoberfest Beer,Märzen / Oktoberfest
192,40418,4.0,Mighty Arrow Pale Ale,American Pale Ale (APA)
651,55838,4.0,Ground Break,Saison / Farmhouse Ale
3268,24059,3.0,Wheach,Fruit / Vegetable Beer
16533,40316,3.0,Hub City Oatmeal Stout,Oatmeal Stout
17981,46366,3.5,Big Sound Scotch Ale,Scotch Ale / Wee Heavy
396,1370,4.0,AleSmith X,American Pale Ale (APA)
3818,32926,4.0,Heavy Weizen (Imperial Unfiltered Wheat Ale),Hefeweizen
147,52828,4.0,Kona Coffee Macadamia Coconut Porter,American Porter
345,1012,3.5,St. Victorious,Doppelbock
194,2704,4.0,St-Ambroise Oatmeal Stout,Oatmeal Stout
37,129,4.0,Orval Trappist Ale,Belgian Pale Ale
199,5703,4.0,Black Marlin Porter,American Porter
259,1855,4.0,St. Bernardus Prior 8,Dubbel
689,4307,4.0,The Bitter End Pale Ale,American Pale Ale (APA)
48,1631,4.0,Augustijn Ale,Tripel
96,7740,2.0,Chaotic Chemistry,English Barleywine
16055,41453,4.5,Hr. Frederiksen,Russian Imperial Stout
741,6412,4.0,Pumpkin Lager Beer,Fruit / Vegetable Beer
3120,27604,4.5,Duet IPA,American IPA
141,21296,4.5,Smuttynose S'muttonator (Big Beer Series),Doppelbock
201,633,4.0,De Dolle Arabier,Belgian Strong Pale Ale
392,5970,3.5,Autumn Fest,American Amber / Red Ale
73,9353,4.0,Great Lakes Holy Moses,Witbier
132,1173,3.0,Santa's Private Reserve Ale,American Amber / Red Ale
68,24071,3.5,Gonzo Imperial Porter,Baltic Porter
10099,199,4.5,Immort Ale,American Strong Ale
10607,22189,3.0,Bengali Tiger,American IPA
147,12973,4.0,Sawyer's Triple,Tripel
1199,19960,4.5,Founders KBS (Kentucky Breakfast Stout),American Double / Imperial Stout
209,862,3.0,Harp Lager,Euro Pale Lager
394,36670,4.0,Smooth Hoperator,Doppelbock
158,19216,3.5,Oak Aged Yeti Imperial Stout,Russian Imperial Stout
10097,35646,4.0,Harpoon Brown Session Ale,English Dark Mild Ale
26,4810,4.0,Behemoth Blonde Barleywine,American Barleywine
447,1719,4.0,Lone Star Beer,American Adjunct Lager
423,36333,4.0,Saison - Brett,Saison / Farmhouse Ale
35,38591,5.0,Samuel Adams Hallertau Imperial Pilsner,American Double / Imperial Pilsner
147,62254,4.0,Stone 10.10.10 Vertical Epic Ale,Belgian Strong Pale Ale
173,1682,2.5,Rose,Tripel
418,1876,3.0,Good Juju (Ginger Ale),Herbed / Spiced Beer
162,649,4.0,Ipswich Dark Ale,American Brown Ale
1,429,5.0,Pilsner Urquell,Czech Pilsener
209,49122,3.5,Guinness 250th Anniversary Stout,Irish Dry Stout
287,2511,3.5,Bell's Cherry Stout,American Stout
1549,10672,3.5,Bourbon County Brand Stout,American Double / Imperial Stout
13014,44531,3.0,Hell,Keller Bier / Zwickel Bier
220,22387,5.0,Lagunitas Imperial Red Ale,American Strong Ale
738,5057,5.0,Fantôme Saison,Saison / Farmhouse Ale
7375,52433,3.5,Hop Rising Double IPA,American Double / Imperial IPA
450,13450,4.5,Thomas Jefferson's Tavern Ale,English Strong Ale
95,6222,4.0,Löwenbräu Oktoberfestbier,Märzen / Oktoberfest
147,1056,3.0,Double Bastard Ale,American Strong Ale
132,56973,3.0,Shakespeare Oatmeal Stout,Oatmeal Stout
710,2958,2.5,Leinenkugel's Honey Weiss,Kristalweizen
240,703,4.5,Murphy's Irish Stout,Irish Dry Stout
866,8348,4.0,Sgt Major's IPA,American IPA
337,63110,4.5,Saint Arnold Divine Reserve #10,English Barleywine
130,9590,4.0,Never Summer Ale,Winter Warmer
345,1005,3.0,HopDevil Ale,American IPA
193,608,4.0,Poleeko Gold Pale Ale,American Pale Ale (APA)
1549,61506,3.5,Dominique,American Wild Ale
140,279,4.0,Sierra Nevada Porter,American Porter
105,1299,3.5,Icehouse,American Adjunct Lager
1549,48824,4.5,Sofie,Saison / Farmhouse Ale
345,1009,4.0,Old Horizontal,American Barleywine
863,9474,2.0,Temptation,American Wild Ale
826,2574,4.0,Val-Dieu Blond,Belgian Pale Ale
423,1260,4.0,Unfiltered Wheat,American Pale Wheat Ale
5316,50097,4.0,LTD Series - 03,German Pilsener
287,2010,3.5,Bell's Java Stout,American Double / Imperial Stout
158,26233,5.0,Fresh Hop Pale Ale,American Pale Ale (APA)
287,1206,3.0,Bell's Pale Ale,American Pale Ale (APA)
180,1385,4.0,Delirium Tremens,Belgian Strong Pale Ale
863,20518,4.0,Sanctification,American Wild Ale
139,1382,4.5,Chamberlain Pale Ale,American Pale Ale (APA)
345,1013,4.5,Storm King Stout,Russian Imperial Stout
35,56400,3.5,Samuel Adams Wee Heavy (Imperial Series),Scotch Ale / Wee Heavy
590,47733,4.0,Unplugged Iced Barleywine,English Barleywine
28,1445,3.5,Anchor Old Foghorn,English Barleywine
147,62254,3.0,Stone 10.10.10 Vertical Epic Ale,Belgian Strong Pale Ale
147,8951,4.0,Oaked Arrogant Bastard Ale,American Strong Ale
73,15813,4.0,Great Lakes Blackout Stout,Russian Imperial Stout
105,810,5.0,Mickey's,American Malt Liquor
96,28536,4.0,Circus Boy,American Pale Wheat Ale
10099,1180,4.0,Raison D'etre,Belgian Strong Dark Ale
345,1009,4.0,Old Horizontal,American Barleywine
321,1836,4.5,La Chouffe,Belgian Strong Pale Ale
455,36960,3.5,Creemore Springs Traditional Pilsner,Czech Pilsener
141,185,4.0,Smuttynose Imperial Stout (Big Beer Series),Russian Imperial Stout
99,906,3.5,Saranac Black & Tan,Black & Tan
10099,33832,4.5,Palo Santo Marron,American Brown Ale
35,52633,4.5,Samuel Adams Coastal Wheat,American Pale Wheat Ale
160,14943,3.5,Bah Humbug,Winter Warmer
285,35329,4.0,Doppelbock Dunkel,Doppelbock
923,3041,4.0,True Blonde Ale,American Blonde Ale
140,276,4.5,Sierra Nevada Pale Ale,American Pale Ale (APA)
29,34257,3.0,Redbridge,American Amber / Red Lager
478,1371,3.0,Labatt Blue,American Adjunct Lager
18149,42816,5.0,Isabelle Proximus,American Wild Ale
199,29619,4.0,Sculpin India Pale Ale,American IPA
7730,54355,3.0,Special Holiday Ale - Nøgne Ø/Jolly Pumpkin Artisan Ales/Stone Brewing Co.,Winter Warmer
619,19957,4.0,Lobotomy Bock,Doppelbock
738,5057,3.5,Fantôme Saison,Saison / Farmhouse Ale
287,1093,4.0,Two Hearted Ale,American IPA
3,60284,4.5,SOS (Save Our Shore),German Pilsener
95,280,4.0,Löwenbräu Original,Munich Helles Lager
28,61,4.0,Anchor Porter,American Porter
220,1372,3.5,Maximus,American Double / Imperial IPA
1141,10325,4.5,Péché Mortel (Imperial Stout Au Cafe),American Double / Imperial Stout
75,233,1.0,Corona Light,Light Lager
13307,58493,4.0,10.0,American IPA
140,42533,3.5,Sierra Nevada Southern Hemisphere Harvest Fresh Hop Ale,American IPA
3818,32926,4.0,Heavy Weizen (Imperial Unfiltered Wheat Ale),Hefeweizen
32,2435,3.0,Beck's,German Pilsener
392,18198,4.0,Heresy,Russian Imperial Stout
651,43335,4.0,Brute,American Wild Ale
450,13450,3.5,Thomas Jefferson's Tavern Ale,English Strong Ale
313,857,4.5,Trappist Westvleteren 8,Dubbel
2681,6518,4.5,Dale's Pale Ale,American Pale Ale (APA)
17863,45617,3.5,(512) Pecan Porter,American Porter
651,43335,4.0,Brute,American Wild Ale
220,49789,4.0,A Little Sumpin' Sumpin' Ale,American Pale Wheat Ale
5062,20897,4.0,Coffee Porter,English Porter
205,158,3.0,Alimony Ale,American IPA
287,52361,3.0,The Oracle,American Double / Imperial IPA
10097,311,4.0,Harpoon IPA,American IPA
13307,46987,2.5,Beer Geek Brunch Weasel,American Double / Imperial Stout
345,42546,4.5,Wild Devil,Belgian IPA
718,2480,4.0,Bavik Pils / Lager,German Pilsener
345,1015,5.0,Whirlwind Witbier,Witbier
156,33639,1.0,Cocoa Porter Winter Warmer,American Porter
16866,42434,4.0,Saison Rue,Saison / Farmhouse Ale
610,1655,4.5,Red Rocket Ale,American Amber / Red Ale
10099,33832,4.0,Palo Santo Marron,American Brown Ale
2137,2297,4.0,Avalanche Ale,American Amber / Red Ale
10097,45934,4.0,Harpoon Leviathan - Baltic Porter,Baltic Porter
2681,8919,4.5,G'Knight Imperial Red Ale,American Double / Imperial IPA
18134,34688,3.5,Long Hammer IPA,American IPA
4686,2011,3.5,Hofbräu Oktoberfestbier,Märzen / Oktoberfest
96,299,4.0,#9,Fruit / Vegetable Beer
735,4202,4.0,Hell Or High Watermelon Wheat Beer,Fruit / Vegetable Beer
202,656,4.0,Tripel Karmeliet,Tripel
2372,36195,4.0,Terrapin Hop Karma IPA,American Brown Ale
3818,49286,4.0,Mokah,American Double / Imperial Stout
590,28268,3.5,Yokel,Keller Bier / Zwickel Bier
345,1013,4.0,Storm King Stout,Russian Imperial Stout
786,40941,4.0,Point Belgian White,Witbier
183,628,2.0,Sterkens White Ale,Witbier
287,17112,4.5,Bell's Hopslam Ale,American Double / Imperial IPA
1199,17538,3.5,Founders Devil Dancer,American Double / Imperial IPA
579,36594,4.0,Wailua Wheat,American Pale Wheat Ale
694,3677,4.0,Tröegs Rugged Trail Nut Brown Ale,English Brown Ale
10099,3951,4.5,ApriHop,American IPA
357,41268,4.0,Wet Willy Scotch Ale,Scotch Ale / Wee Heavy
158,42723,4.5,Espresso Oak Aged Yeti Imperial Stout,American Double / Imperial Stout
3,5,1.0,Amber,Vienna Lager
42,3457,2.0,Three Philosophers Belgian Style Blend (Quadrupel),Quadrupel (Quad)
396,1370,4.5,AleSmith X,American Pale Ale (APA)
396,31484,5.0,AleSmith Speedway Stout - Barrel Aged,American Double / Imperial Stout
99,48542,3.5,Saranac Rye Pilsener,Rye Beer
13667,33177,4.5,Starr Hill Jomo Lager,American Amber / Red Lager
252,731,5.0,Weihenstephaner Hefeweissbier,Hefeweizen
418,34363,3.5,Smoke Jumper Smoked Imperial Porter,American Porter
718,2184,4.0,Petrus Aged Pale,Flanders Oud Bruin
140,54089,4.0,Life & Limb,American Strong Ale
10097,48933,4.5,UFO White,Witbier
208,646,4.5,Westmalle Trappist Tripel,Tripel
208,674,4.5,Westmalle Trappist Dubbel,Dubbel
73,226,4.0,Great Lakes Edmund Fitzgerald Porter,American Porter
335,2904,4.0,New Holland Mad Hatter India Pale Ale,American IPA
287,20604,4.5,Hell Hath No Fury Ale,Belgian Strong Dark Ale
467,1374,4.0,Summit Extra Pale Ale,English Pale Ale
1199,34146,4.5,Founders Double Trouble,American Double / Imperial IPA
125,383,4.0,Penn Dark,Munich Dunkel Lager
694,4109,3.5,Troegenator Double Bock,Doppelbock
263,21704,4.5,Aecht Schlenkerla Fastenbier,Rauchbier
10099,2392,4.0,World Wide Stout,American Double / Imperial Stout
3818,38394,4.0,Pumking,Pumpkin Ale
140,3558,3.5,Sierra Nevada Summerfest Lager,Czech Pilsener
132,355,5.0,Dead Guy Ale,Maibock / Helles Bock
72,759,4.0,Schneider Wiesen Edel-Weisse Mein Grunes,Hefeweizen
13307,46987,4.0,Beer Geek Brunch Weasel,American Double / Imperial Stout
147,43491,4.5,Stone 12th Anniversary Bitter Chocolate Oatmeal Stout,American Double / Imperial Stout
16057,37795,3.5,CoCoNut Porter,American Porter
609,2420,3.0,Bison Organic Chocolate Stout,American Stout
3120,32286,4.0,Nelson,American IPA
16105,41839,4.0,Mayflower Porter,English Porter
863,37578,4.0,Damnation Batch 23 (Oak Aged),Tripel
423,46606,4.0,Single-Wide I.P.A.,American IPA
192,14072,4.0,Transatlantique Kriek,Lambic - Fruit
37,129,5.0,Orval Trappist Ale,Belgian Pale Ale
392,30288,4.0,Double Simcoe IPA,American Double / Imperial IPA
345,1005,4.5,HopDevil Ale,American IPA
105,26690,3.0,1855 Celebration Lager,American Adjunct Lager
353,1541,3.0,Victoria Bitter (VB),American Adjunct Lager
13884,29098,4.0,Peak Organic Pale Ale,American Pale Ale (APA)
306,63224,4.0,Blue Moon Winter Abbey Ale,Dubbel
170,1746,3.5,420 India Pale Ale,American IPA
651,55838,4.5,Ground Break,Saison / Farmhouse Ale
1417,3824,2.5,Monty Python's Holy Grail Ale,English Pale Ale
35,67332,4.0,Longshot Honey B's Lavender Ale,Herbed / Spiced Beer
207,645,4.5,Trappistes Rochefort 10,Quadrupel (Quad)
721,2270,2.5,Carlsberg Beer,Euro Pale Lager
1549,50276,4.0,Fleur,Belgian Pale Ale
22,793,3.5,Raftman,Belgian Pale Ale
26,4810,4.0,Behemoth Blonde Barleywine,American Barleywine
140,68960,3.5,Best Of Beer Camp: California Common - Beer Camp #8,California Common / Steam Beer
35,111,1.0,Samuel Adams Triple Bock,American Strong Ale
413,13209,4.0,Bitch Creek ESB (Extra Special Brown Ale),American Brown Ale
1471,5385,4.5,Dark Horse Crooked Tree IPA,American IPA
16866,42587,3.5,Black Orchard,Belgian Dark Ale
220,46357,3.5,Cruising With Ruben & The Jets,American Double / Imperial Stout
753,2585,4.0,Saxo,Belgian Strong Pale Ale
10397,34018,4.5,Dunkel Lager,Munich Dunkel Lager
357,34484,5.0,Imperial Stout Trooper,Russian Imperial Stout
403,25649,3.0,Audacious Apricot Ale,Fruit / Vegetable Beer
1199,16074,4.5,Founders Red's Rye PA,Rye Beer
48,155,4.0,Gulden Draak (Dark Triple),Belgian Strong Dark Ale
16866,62063,4.5,Loakal Red,American Amber / Red Ale
75,232,2.5,Corona Extra,American Adjunct Lager
610,3158,3.5,Hop Rod Rye,Rye Beer
139,693,4.0,Shipyard IPA,English India Pale Ale (IPA)
1,429,4.0,Pilsner Urquell,Czech Pilsener
413,53266,4.0,Pursuit Of Hoppiness,American Amber / Red Ale
119,62050,3.0,Otter Creek (Alpine) Black IPA,American Black Ale
141,16403,4.0,"Smuttynose IPA ""Finest Kind""",American IPA
18134,1119,4.0,Redhook ESB,Extra Special / Strong Bitter (ESB)
454,4017,3.5,Arcadia London Porter,English Porter
13302,28750,3.5,Heinnieweisse Weissebier,Hefeweizen
142,99,4.5,Spaten Optimator,Doppelbock
4909,10683,4.5,Leipziger Gose,Gose
130,12830,2.5,Sundance Amber Ale,American Amber / Red Ale
35,1879,4.0,Samuel Adams Cream Stout,Milk / Sweet Stout
2743,22505,4.5,Green Flash West Coast I.P.A.,American IPA
886,35603,1.0,Gubernija Grand 9.5 Beer,Euro Strong Lager
345,14916,5.0,Hop Wallop,American Double / Imperial IPA
863,12770,4.0,Damnation,Belgian Strong Pale Ale
267,50241,4.0,St. Lupulin,American Pale Ale (APA)
822,2563,3.5,Tusker Premium Lager,American Adjunct Lager
898,65545,4.0,Heavy Seas Black Cannon,American Black Ale
284,10071,2.5,Sapporo Premium Beer,Japanese Rice Lager
113,782,4.5,Samuel Smith's Imperial Stout,Russian Imperial Stout
2085,5426,4.5,Dragonmead Final Absolution Trippel,Tripel
220,2533,4.0,Hairy Eyeball Ale,American Strong Ale
35,101,3.5,Samuel Adams Winter Lager,Bock
140,2671,4.0,Sierra Nevada Bigfoot Barleywine Style Ale,American Barleywine
208,646,4.5,Westmalle Trappist Tripel,Tripel
45,570,5.0,Brooklyn Oktoberfest Beer,Märzen / Oktoberfest
396,27371,4.0,AleSmith Grand Cru Ale,Belgian Strong Dark Ale
339,1958,3.0,Extra Pale Ale,American Pale Ale (APA)
158,31473,3.5,Samurai Ale,American Blonde Ale
252,35625,4.0,Weihenstephaner Vitus,Weizenbock
221,689,2.0,Red Stripe Jamaican Lager,American Adjunct Lager
585,2637,4.5,Maisel's Weisse Original,Hefeweizen
266,1443,4.0,Steelhead Extra Stout,American Stout
